Name	Country	Rating	Position
Simen Agdestein	NOR	2560	?
Ulf Andersson	SWE	2605	?
Ivan Farago	HUN	2475	?
Kiril Georgiev	BUL	2595	?
Curt Hansen	DEN	2560	?
Robert Dr. Huebner	GER	2595	?
Anatoly Karpov	RUS	2715	?
Ljubomir Ljubojevic	SCG	2610	?
Predrag Nikolic	BIH	2630	?
Jeroen Piket	NED	2470	?
Gennadi Sosonko	NED	2535	?
Mikhail Tal	LAT	2630	?
Paul Van der Sterren	NED	2470	?
John Van Der Wiel	NED	2555	?
