Name	Country	Rating	Position
Michael Adams	ENG	2600	?
Alexander Chernin	HUN	2610	?
John P Fedorowicz	USA	2555	?
Curt Hansen	DEN	2565	?
Alexander Khalifman	RUS	2640	?
Zdenko Kozul	CRO	2580	?
Joel Lautier	FRA	2550	?
John Nunn	ENG	2600	?
Helgi Olafsson	ISL	2590	?
Jeroen Piket	NED	2550	?
Valery Salov	RUS	2645	?
Yasser Seirawan	USA	2595	?
Ivan Sokolov	NED	2570	?
John Van Der Wiel	NED	2530	?
