Name	Country	Rating	Position
Anand, Viswanathan	IND	2799	1
Kramnik, Vladimir	RUS	2799	1
Topalov, Veselin	BUL	2780	3
Mamedyarov, Shakhryar	AZE	2760	6
Leko, Peter	HUN	2753	8
Ivanchuk, Vassily	UKR	2751	9
Aronian, Levon	ARM	2739	10
Gelfand, Boris	ISR	2737	11
Radjabov, Teymour	AZE	2735	12
Carlsen, Magnus	NOR	2733	13
Adams, Michael	ENG	2726	15
Polgar, Judit	HUN	2707	22
Eljanov, Pavel	UKR	2692	27
van Wely, Loek	NED	2681	35
