Name	Country	Rating	Position
Curt Hansen	DEN	2580	?
Peter Leko	HUN	2545	?
Ivan Morovic Fernandez	CHI	2605	?
Predrag Nikolic	BIH	2625	?
Jeroen Piket	NED	2605	?
Ilia Smirin	ISR	2615	?
Ivan Sokolov	NED	2650	?
Sergei Tiviakov	NED	2630	?
John Van Der Wiel	NED	2570	?
Loek Van Wely	NED	2570	?
