Name	Country	Rating	Position
Ulf Andersson	SWE	2585	?
Hans Bohm	NED	2425	?
Walter S. Browne	USA	2585	?
Mark Dvoretzky	RUS	2540	?
Bojan Kurajica	BIH	2525	?
Kick Langeweg	NED	2450	?
Ljubomir Ljubojevic	SCG	2620	?
Fridrik Olafsson	ISL	2550	?
Hans Ree	NED	2420	?
Jan Smejkal	CZE	2615	?
Gennadi Sosonko	NED	2505	?
Mikhail Tal	LAT	2615	?
