Name	Country	Rating	Position
Carlsen, Magnus	NOR	2865	1
Caruana, Fabiano	USA	2792	4
Giri, Anish	NED	2772	7
Mamedyarov, Shakhriyar	AZE	2767	9
Rapport, Richard	HUN	2763	11
Duda, Jan	POL	2760	13
Karjakin, Sergey	RUS	2743	18
Vidit, Santosh Gujrathi	IND	2727	22
Dubov, Daniil	RUS	2720	24
Esipenko, Andrey	RUS	2714	26
Shankland, Sam	USA	2708	29
Van Foreest, Jorden	NED	2702	35
Grandelius, Nils	SWE	2672	67
Praggnanandhaa R	IND	2612	195
