Name	Country	Rating	Position
Alexander Chernin	HUN	2570	?
Nick E De Firmian	USA	2520	?
Ferdinand Hellers	SWE	2435	?
Julian M. Hodgson	ENG	2480	?
Vlastimil Hort	GER	2545	?
Robert Dr. Huebner	GER	2625	?
Ljubomir Ljubojevic	SCG	2605	?
Predrag Nikolic	BIH	2565	?
Hans Ree	NED	2455	?
Yasser Seirawan	USA	2605	?
Nigel Short	ENG	2585	?
Gennadi Sosonko	NED	2525	?
Paul Van der Sterren	NED	2470	?
John Van Der Wiel	NED	2555	?
