Name	Country	Rating	Position
Kramnik, Vladimir	RUS	2807	2
Anand, Viswanathan	IND	2753	3
Topalov, Veselin	BUL	2743	4
Ponomariov, Ruslan	UKR	2734	6
Bareev, Evgeny	RUS	2729	8
Shirov, Alexey	ESP	2723	9
Grischuk, Alexander	RUS	2712	10
Polgar, Judit	HUN	2700	13
Ivanchuk, Vassily	UKR	2699	15
Karpov, Anatoly	RUS	2688	19
van Wely, Loek	NED	2668	30
Krasenkow, Michal	POL	2633	55
Radjabov, Teymour	AZE	2624	65
Timman, Jan	NED	2594	110
