Name	Country	Rating	Position
Ulf Andersson	SWE	2635	?
Walter S. Browne	USA	2540	?
Vlastimil Hort	GER	2585	?
Krunoslav Hulak	CRO	2515	?
Viktor Korchnoi	SUI	2600	?
Adam Kuligowski	POL	2435	?
John Nunn	ENG	2570	?
Fridrik Olafsson	ISL	2495	?
Hans Ree	NED	2500	?
Zoltan Ribli	HUN	2595	?
Peter Scheeren	NED	2455	?
Yasser Seirawan	USA	2600	?
Jonathan S. Speelman	ENG	2570	?
John Van Der Wiel	NED	2530	?
