Name	Country	Rating	Position
Kramnik, Vladimir	RUS	2777	2
Anand, Viswanathan	IND	2766	3
Svidler, Peter	RUS	2747	4
Shirov, Alexey	ESP	2736	5
Topalov, Veselin	BUL	2735	6
Leko, Peter	HUN	2722	10
Adams, Michael	ENG	2720	11
Bareev, Evgeny	RUS	2714	14
Sokolov, Ivan	NED	2706	16
Akopian, Vladimir	ARM	2693	19
Bologan, Viorel	MLD	2679	23
Zhong, Zhang	CHN	2644	47
van Wely, Loek	NED	2617	79
Timman, Jan	NED	2578	175
