Name	Country	Rating	Position
Carlsen, Magnus	NOR	2834	1
Caruana, Fabiano	USA	2811	2
Mamedyarov, Shakhriyar	AZE	2804	3
So, Wesley	USA	2792	6
Kramnik, Vladimir	RUS	2787	7
Svidler, Peter	RUS	2768	10
Anand, Viswanathan	IND	2767	11
Karjakin, Sergey	RUS	2753	14
Giri, Anish	NED	2752	15
Wei, Yi	CHN	2743	22
Matlakov, Maxim	RUS	2718	32
Hou, Yifan	CHN	2680	64
Adhiban, B.	IND	2655	96
Jones, Gawain C B	ENG	2640	127
