Name	Country	Rating	Position
Andras Adorjan	HUN	2475	?
Pal C Benko	USA	2515	?
Walter S. Browne	USA	2530	?
Johannes Donner	NED	2500	?
Robert G. Hartoch	NED	2400	?
Vlastimil Hort	GER	2605	?
Borislav Ivkov	SCG	2560	?
Kick Langeweg	NED	2425	?
Ljubomir Ljubojevic	SCG	2510	?
Arturo Pomar Salamanca	ESP	2510	?
Lajos Portisch	HUN	2630	?
Hans Ree	NED	2430	?
Vladimir Savon	RUS	2570	?
Jan Smejkal	CZE	2515	?
Vassily Smyslov	RUS	2620	?
Jan H Timman	NED	2445	?
