Name	Country	Rating	Position
Michael Adams	ENG	2742	?
Evgeny Bareev	RUS	2707	?
Alexey Dreev	RUS	2683	?
Boris Gelfand	ISR	2703	?
Alexander Grischuk	RUS	2671	?
Mikhail Gurevich	TUR	2641	?
Rustam Kasimdzhanov	UZB	2695	?
Alexander Khalifman	RUS	2688	?
Joel Lautier	FRA	2687	?
Peter Leko	HUN	2713	?
Alexander Morozevich	RUS	2742	?
Jeroen Piket	NED	2659	?
Jan H Timman	NED	2605	?
Loek Van Wely	NED	2697	?
